epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.2585,4.49802,6.17343,2.48534,0,0,0,0,4.28205,4.9739,2.08663,2e-05,2e-05,2e-05
2,65.4106,4.51362,5.77474,2.27851,0,0,0,0,4.12965,4.97536,2.00047,5.9604e-05,5.9604e-05,5.9604e-05
3,84.3866,4.63016,5.9676,2.37229,0,0,0,0,4.23419,4.96761,1.92984,9.868e-05,9.868e-05,9.868e-05
4,104.056,3.89122,5.42675,2.12333,0,0,0,0,4.02908,4.89094,1.8265,0.000137228,0.000137228,0.000137228
5,120.627,3.96691,4.80771,1.8845,0.00042,0.02128,0.00022,2e-05,4.12303,4.60477,1.77432,0.000175248,0.000175248,0.000175248
6,135.988,3.81906,4.6955,1.77553,0.00208,0.10638,0.00123,0.0003,3.65976,4.42051,1.61402,0.00021274,0.00021274,0.00021274
7,154.186,3.66999,4.2676,1.63083,0.00458,0.23404,0.00314,0.00079,3.43763,4.22986,1.4722,0.000249704,0.000249704,0.000249704
8,170.728,3.47134,4.31975,1.54986,0.00583,0.29787,0.00432,0.00105,3.25495,4.16717,1.42517,0.00028614,0.00028614,0.00028614
9,187.952,3.33247,4.18989,1.45911,0.00583,0.29787,0.00412,0.00105,3.11984,4.13781,1.39587,0.000322048,0.000322048,0.000322048
10,205.083,3.26136,3.82052,1.43704,0.00333,0.17021,0.00212,0.00069,2.94923,4.07748,1.36755,0.000357428,0.000357428,0.000357428
11,222.666,3.53058,3.89698,1.44616,0.00708,0.3617,0.00524,0.00146,2.87379,4.01214,1.37247,0.00039228,0.00039228,0.00039228
12,239.073,3.14709,3.72575,1.4147,0.00833,0.42553,0.00672,0.00181,2.96081,3.92309,1.37018,0.000426604,0.000426604,0.000426604
13,254.599,3.08036,4.3332,1.46781,0.00917,0.46809,0.00832,0.00208,2.99668,3.89422,1.3855,0.0004604,0.0004604,0.0004604
14,271.134,3.51381,4.35312,1.38096,0.01083,0.55319,0.01082,0.00269,2.99449,3.8948,1.40288,0.000493668,0.000493668,0.000493668
