epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5239,4.52565,5.19893,2.38803,0,0,0,0,3.98411,4.77961,2.09318,2e-05,2e-05,2e-05
2,19.9735,4.39867,5.30967,2.37452,0,0,0,0,3.98974,4.64343,2.01825,5.8812e-05,5.8812e-05,5.8812e-05
3,28.2736,4.58124,4.90538,2.21465,0,0,0,0,4.29582,4.8886,1.93039,9.604e-05,9.604e-05,9.604e-05
4,35.6909,4.15108,4.94336,2.19347,0.00056,0.02564,0.00029,6e-05,4.72616,5.06937,2.06242,0.000131684,0.000131684,0.000131684
5,43.949,4.06238,4.60271,1.99854,0,0,0,0,4.77125,5.03862,2.12726,0.000165744,0.000165744,0.000165744
6,52.3186,4.02563,4.56577,1.73118,0,0,0,0,4.58837,4.71766,2.04152,0.00019822,0.00019822,0.00019822
7,59.6262,3.71417,4.43088,1.7553,0,0,0,0,4.28011,4.45931,2.01331,0.000229112,0.000229112,0.000229112
8,66.9485,3.62816,5.06149,1.65097,0.00111,0.05128,0.00061,0.00012,3.94106,4.33143,1.88206,0.00025842,0.00025842,0.00025842
9,75.6318,3.43801,4.72682,1.56966,0.00167,0.07692,0.00096,0.00022,3.78091,4.29719,1.8622,0.000286144,0.000286144,0.000286144
10,84.443,3.62448,4.10328,1.64442,0.00222,0.10256,0.00129,0.00025,3.56772,4.25647,1.7621,0.000312284,0.000312284,0.000312284
11,92.1864,3.48993,4.09915,1.4591,0.00278,0.12821,0.00173,0.0003,3.453,4.23944,1.67585,0.00033684,0.00033684,0.00033684
12,100.516,3.64594,4.13143,1.57551,0.00278,0.12821,0.00176,0.0003,3.6009,4.27007,1.68728,0.000359812,0.000359812,0.000359812
13,108.466,3.38935,3.8737,1.53459,0.00222,0.10256,0.00135,0.00033,3.74963,4.3219,1.73366,0.0003812,0.0003812,0.0003812
14,116.776,3.38826,3.76767,1.52584,0.00167,0.07692,0.00097,0.00029,3.93721,4.39005,1.77809,0.000401004,0.000401004,0.000401004
15,124.319,3.36647,3.71614,1.39001,0.00222,0.10256,0.00132,0.00026,4.03276,4.42834,1.803,0.000419224,0.000419224,0.000419224
16,133.225,3.31934,3.71338,1.3842,0.00278,0.12821,0.00169,0.00029,3.85641,4.3595,1.75241,0.00043586,0.00043586,0.00043586
17,142.311,3.23325,3.70204,1.38422,0.00222,0.10256,0.00143,0.00053,3.37923,4.16386,1.55915,0.000450912,0.000450912,0.000450912
18,150.296,3.07799,3.34144,1.40127,0.00611,0.28205,0.00498,0.00116,2.93567,4.0257,1.40361,0.00046438,0.00046438,0.00046438
19,157.938,3.16632,3.11611,1.32657,0.00778,0.35897,0.0067,0.00147,3.01513,3.99548,1.44466,0.000476264,0.000476264,0.000476264
20,165.679,3.10078,3.09386,1.35375,0.00944,0.4359,0.01025,0.00194,2.96709,3.91901,1.40094,0.000486564,0.000486564,0.000486564
21,174.42,3.09861,3.04256,1.36025,0.01278,0.58974,0.01913,0.00464,2.68147,3.84652,1.31621,0.00049528,0.00049528,0.00049528
22,182.088,3.07873,3.01033,1.45088,0.01167,0.53846,0.01929,0.00453,2.66654,3.82343,1.33153,0.000502412,0.000502412,0.000502412
23,189.364,2.91438,2.49031,1.33727,0.01111,0.51282,0.01898,0.00466,2.69336,3.81252,1.32585,0.00050796,0.00050796,0.00050796
24,196.889,3.22323,3.24373,1.30722,0.01278,0.58974,0.02478,0.00558,2.71029,3.83429,1.30591,0.000511924,0.000511924,0.000511924
