epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7717,4.68042,8.34732,2.4933,0,0,0,0,4.00657,6.93993,2.29727,2e-05,2e-05,2e-05
2,44.4948,4.77527,8.48291,2.47658,0,0,0,0,3.79195,5.87089,2.09237,5.9604e-05,5.9604e-05,5.9604e-05
3,64.3397,4.46239,5.81037,2.02516,0.00167,0.07692,0.00093,0.00021,3.98154,5.34565,1.8956,9.868e-05,9.868e-05,9.868e-05
4,84.1075,3.93097,5.19292,1.93324,0.00556,0.25641,0.00438,0.00093,3.94011,4.94486,1.83308,0.000137228,0.000137228,0.000137228
5,104.313,3.71395,4.38892,1.8364,0.01417,0.30769,0.01205,0.00308,3.58095,7.15856,1.71003,0.000175248,0.000175248,0.000175248
6,123.881,3.63125,4.07132,1.61799,0.03189,0.23077,0.01893,0.00357,3.67139,5.2582,1.7267,0.00021274,0.00021274,0.00021274
7,143.549,3.37509,3.7032,1.66701,0.00843,0.02564,0.00353,0.00049,4.49294,12.1177,2.53937,0.000249704,0.000249704,0.000249704
8,163.276,3.07852,3.6793,1.53036,0.03317,0.17949,0.02348,0.0044,3.50221,22.8236,1.96877,0.00028614,0.00028614,0.00028614
9,183.665,3.04906,2.94762,1.47396,0.02584,0.20513,0.01163,0.00309,3.84186,29.1332,2.27382,0.000322048,0.000322048,0.000322048
10,203.172,3.24941,3.08433,1.55967,0.0509,0.33333,0.03271,0.00917,3.15499,17.8232,1.73851,0.000357428,0.000357428,0.000357428
11,223.728,3.53232,2.85996,1.47047,0.02697,0.30769,0.02191,0.00662,3.0499,13.2963,1.55441,0.00039228,0.00039228,0.00039228
12,243.694,3.30222,2.79974,1.4502,0.02515,0.17949,0.01018,0.00335,3.52804,24.0272,1.82306,0.000426604,0.000426604,0.000426604
13,265.147,3.05847,2.5853,1.47988,0.02673,0.23077,0.01328,0.00446,3.43955,30.6964,1.97096,0.0004604,0.0004604,0.0004604
14,284.99,3.15021,2.85308,1.48661,0.0231,0.25641,0.01331,0.00387,3.33435,19.28,1.79953,0.000493668,0.000493668,0.000493668
15,305.32,3.04527,2.65082,1.39703,0.10465,0.41026,0.05617,0.01879,2.81806,10.424,1.61305,0.000526408,0.000526408,0.000526408
16,325.181,3.14362,2.70331,1.42983,0.10795,0.30769,0.05493,0.01872,2.79343,11.4409,1.39308,0.00055862,0.00055862,0.00055862
17,345.549,2.91379,2.42445,1.31779,0.09771,0.12821,0.0168,0.00324,4.44885,33.8472,2.6017,0.000590304,0.000590304,0.000590304
18,368.341,2.84976,2.3613,1.37223,0.18248,0.12821,0.08159,0.02259,3.71194,82.3153,2.19338,0.00062146,0.00062146,0.00062146
19,388.458,2.85255,2.31889,1.27438,0.15608,0.07692,0.04973,0.02127,3.70694,43.6937,2.19999,0.000652088,0.000652088,0.000652088
20,408.91,2.83218,2.38059,1.31396,0.02415,0.02564,0.00465,0.00123,3.89982,30.3644,2.24191,0.000682188,0.000682188,0.000682188
21,430.234,2.72342,2.51723,1.31518,0.01856,0.10256,0.00571,0.00161,3.88169,54.2434,2.17868,0.00071176,0.00071176,0.00071176
22,450.14,2.78794,2.27913,1.40533,0.02215,0.15385,0.0075,0.00201,3.6261,27.1194,1.99274,0.000740804,0.000740804,0.000740804
23,469.487,2.81876,2.02715,1.32557,0.00333,0.15385,0.00195,0.00071,3.55898,88.3068,1.84074,0.00076932,0.00076932,0.00076932
24,489.372,3.04205,2.59253,1.27309,0,0,0,0,4.25437,1814.17,3.39433,0.000797308,0.000797308,0.000797308
25,509.23,2.76937,2.23656,1.32026,0.00112,0.05128,0.00059,0.00017,3.63453,2845.62,6.04135,0.000824768,0.000824768,0.000824768
26,529.093,2.84767,2.30907,1.37804,0,0,0,0,3.26896,1385.61,3.94646,0.0008517,0.0008517,0.0008517
27,548.821,2.60255,2.39225,1.37564,0,0,0,0,4.86837,4247.84,5.64369,0.000878104,0.000878104,0.000878104
28,568.854,3.01811,2.23592,1.48129,0,0,0,0,4.86837,4247.84,5.64369,0.00090398,0.00090398,0.00090398
29,588.703,2.90228,2.29481,1.38727,0,0,0,0,5.23667,3942.01,5.39209,0.000929328,0.000929328,0.000929328
30,608.024,3.04966,2.55772,1.36644,0.00079,0.02564,0.0003,3e-05,4.17854,1901.28,2.84456,0.000954148,0.000954148,0.000954148
31,627.246,2.80373,2.23785,1.45871,0.00079,0.02564,0.0003,3e-05,4.17854,1901.28,2.84456,0.00097844,0.00097844,0.00097844
32,646.561,2.85681,2.40261,1.45156,0.00071,0.02564,0.00029,0.00014,4.69104,2591.93,4.16801,0.0010022,0.0010022,0.0010022
33,666.12,2.73818,2.08889,1.25768,0,0,0,0,3.01225,522.125,1.70651,0.00102544,0.00102544,0.00102544
34,685.671,2.6195,2.13988,1.35302,0,0,0,0,3.01225,522.125,1.70651,0.00104815,0.00104815,0.00104815
35,705.212,2.57186,1.90082,1.32732,0.01216,0.41026,0.00886,0.00297,2.74971,90.8329,1.58192,0.00107033,0.00107033,0.00107033
36,724.549,2.65649,2.06339,1.28456,0.02487,0.48718,0.01905,0.00548,2.81903,39.6709,1.51745,0.00109198,0.00109198,0.00109198
37,743.343,2.72927,2.20051,1.31391,0.02487,0.48718,0.01905,0.00548,2.81903,39.6709,1.51745,0.0011131,0.0011131,0.0011131
38,763.057,2.7843,1.98474,1.34656,0.02758,0.41026,0.0202,0.00498,2.84911,20.9101,1.54298,0.0011337,0.0011337,0.0011337
39,784.889,2.66094,1.93438,1.33264,0.03405,0.35897,0.01856,0.00609,2.74769,12.7713,1.49712,0.00115377,0.00115377,0.00115377
40,805.292,2.4964,2.17376,1.28352,0.03405,0.35897,0.01856,0.00609,2.74769,12.7713,1.49712,0.00117331,0.00117331,0.00117331
41,825.071,2.74308,2.14964,1.35624,0.11024,0.15385,0.0583,0.01606,2.80278,12.3413,1.52296,0.00119232,0.00119232,0.00119232
42,844.482,2.63168,2.06412,1.35689,0.08697,0.10256,0.04217,0.01161,3.07307,20.9177,1.84911,0.0012108,0.0012108,0.0012108
43,863.583,2.44374,1.97598,1.34424,0.08697,0.10256,0.04217,0.01161,3.07307,20.9177,1.84911,0.00122876,0.00122876,0.00122876
44,883.63,2.44298,2.09756,1.35699,0.05849,0.30769,0.0862,0.02692,2.96542,54.8868,1.72611,0.00124619,0.00124619,0.00124619
45,903.829,2.75878,1.97619,1.28624,0.05849,0.30769,0.0862,0.02692,2.96542,54.8868,1.72611,0.00126309,0.00126309,0.00126309
46,923.594,2.57257,1.81785,1.34569,0.07981,0.33333,0.11421,0.04741,2.68456,36.314,1.46596,0.00127946,0.00127946,0.00127946
47,943.665,2.76523,2.58164,1.3655,0.07981,0.33333,0.11421,0.04741,2.68456,36.314,1.46596,0.0012953,0.0012953,0.0012953
48,962.787,2.56833,1.96948,1.26965,0.21467,0.33333,0.15713,0.05047,2.77367,18.0016,1.43503,0.00131062,0.00131062,0.00131062
49,981.667,2.6605,1.90308,1.2801,0.21467,0.33333,0.15713,0.05047,2.77367,18.0016,1.43503,0.00132541,0.00132541,0.00132541
50,1001.34,2.65469,2.16606,1.21018,0.34378,0.33333,0.23175,0.066,2.70225,17.8009,1.40013,0.00133967,0.00133967,0.00133967
51,1021.6,2.4982,1.87908,1.26298,0.34378,0.33333,0.23175,0.066,2.70225,17.8009,1.40013,0.00134,0.00134,0.00134
52,1041.89,2.70986,2.04223,1.21355,0.27412,0.46154,0.22439,0.08049,2.55733,9.8306,1.39602,0.0013268,0.0013268,0.0013268
53,1061.26,2.42068,1.99408,1.29789,0.27412,0.46154,0.22439,0.08049,2.55733,9.8306,1.39602,0.0013136,0.0013136,0.0013136
54,1080.25,2.54253,1.99283,1.21064,0.23887,0.25641,0.14782,0.04345,2.62599,10.9422,1.43479,0.0013004,0.0013004,0.0013004
55,1098.97,2.58807,2.39308,1.3569,0.23887,0.25641,0.14782,0.04345,2.62599,10.9422,1.43479,0.0012872,0.0012872,0.0012872
56,1118.58,2.6556,1.94569,1.21108,0.13525,0.25641,0.08079,0.02238,2.79109,4.07527,1.42413,0.001274,0.001274,0.001274
57,1140.44,2.48866,1.8027,1.26391,0.13525,0.25641,0.08079,0.02238,2.79109,4.07527,1.42413,0.0012608,0.0012608,0.0012608
58,1159.61,2.41751,1.80175,1.24693,0.23096,0.27731,0.12287,0.04224,2.68343,3.94188,1.37416,0.0012476,0.0012476,0.0012476
59,1179.13,2.56214,2.23409,1.26214,0.23096,0.27731,0.12287,0.04224,2.68343,3.94188,1.37416,0.0012344,0.0012344,0.0012344
60,1199.04,2.67062,2.06714,1.25801,0.39185,0.35897,0.25858,0.07848,2.65821,5.10851,1.37781,0.0012212,0.0012212,0.0012212
61,1219.09,2.46082,1.61306,1.1388,0.39185,0.35897,0.25858,0.07848,2.65821,5.10851,1.37781,0.001208,0.001208,0.001208
62,1238.2,2.70256,2.02043,1.23796,0.36857,0.33333,0.2589,0.0746,2.74464,4.06139,1.38887,0.0011948,0.0011948,0.0011948
63,1257.9,2.46868,2.01769,1.26637,0.36857,0.33333,0.2589,0.0746,2.74464,4.06139,1.38887,0.0011816,0.0011816,0.0011816
64,1277.84,2.54804,1.86225,1.17838,0.41425,0.30769,0.29336,0.06925,2.91283,3.86198,1.46939,0.0011684,0.0011684,0.0011684
