epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.2611,3.9989,5.37275,2.42651,0,0,0,0,4.0521,4.78939,2.10621,2e-05,2e-05,2e-05
2,103.136,3.90725,4.42453,2.1397,0.00333,0.11111,0.00242,0.00059,3.87519,3.68624,1.89813,5.9604e-05,5.9604e-05,5.9604e-05
3,147.178,3.83108,3.52353,1.9989,0.03118,0.04167,0.01053,0.00207,3.5672,8.93091,1.69565,9.868e-05,9.868e-05,9.868e-05
4,196.484,3.42191,3.15797,1.89786,0.15606,0.06944,0.03622,0.00963,3.20941,5.18368,1.44251,0.000137228,0.000137228,0.000137228
5,245.105,3.37333,3.14564,1.65392,0.13167,0.22222,0.09956,0.02818,2.84609,3.60953,1.23721,0.000175248,0.000175248,0.000175248
6,294.087,2.73621,2.43848,1.61547,0.14978,0.30556,0.13651,0.03666,2.83259,2.77465,1.2173,0.00021274,0.00021274,0.00021274
7,341.724,2.73898,2.13952,1.52653,0.36932,0.27778,0.24847,0.06261,2.83779,2.9314,1.20845,0.000249704,0.000249704,0.000249704
8,387.94,2.63986,2.09461,1.49374,0.50354,0.25,0.22325,0.07042,2.80945,2.02232,1.35308,0.00028614,0.00028614,0.00028614
9,437.104,2.53626,1.67062,1.42455,0.46778,0.30556,0.25842,0.06582,2.82198,2.32398,1.43958,0.000322048,0.000322048,0.000322048
10,487.389,2.37954,1.59869,1.41207,0.58317,0.29167,0.28497,0.07423,2.82161,2.42906,1.45061,0.000357428,0.000357428,0.000357428
11,531.435,2.45423,1.64328,1.33454,0.0405,0.125,0.01791,0.00534,2.84555,4.64441,1.45527,0.00039228,0.00039228,0.00039228
12,581.196,2.39961,1.63239,1.32549,0.02741,0.23611,0.01716,0.00567,2.65988,303.878,1.41997,0.000426604,0.000426604,0.000426604
13,632.968,2.37168,1.68392,1.47392,0.11118,0.30556,0.05751,0.01636,2.72137,7.33295,1.43647,0.0004604,0.0004604,0.0004604
14,681.878,2.40588,1.58784,1.35318,0.04177,0.11111,0.02899,0.01099,2.74029,5.18304,1.43311,0.000493668,0.000493668,0.000493668
15,733.603,2.40688,1.54223,1.33472,0.01266,0.29167,0.00963,0.00356,2.8871,601.889,1.42738,0.000526408,0.000526408,0.000526408
16,779.478,2.3597,1.51793,1.37061,0.02913,0.40278,0.02238,0.00702,2.84913,664.935,1.32262,0.00055862,0.00055862,0.00055862
17,825.206,2.36883,1.56934,1.33014,0.03157,0.31944,0.02482,0.00777,2.74775,64.1939,1.36537,0.000590304,0.000590304,0.000590304
18,870.399,2.17877,1.5907,1.34378,0.05314,0.33333,0.03404,0.01092,2.65613,16.5492,1.38317,0.00062146,0.00062146,0.00062146
19,917.913,2.30456,1.68617,1.26512,0.02561,0.31944,0.01959,0.00616,2.75672,28.0599,1.38194,0.000652088,0.000652088,0.000652088
20,966.683,2.28003,1.62571,1.38021,0.01417,0.47222,0.01215,0.00381,2.87414,94.9695,1.38098,0.000682188,0.000682188,0.000682188
21,1014.29,2.17755,1.5307,1.38473,0.01704,0.30556,0.01226,0.00437,2.83887,312.273,1.39562,0.00071176,0.00071176,0.00071176
22,1062.2,2.35443,1.6079,1.28412,0.01289,0.26389,0.00834,0.00253,3.09349,626.743,1.46737,0.000740804,0.000740804,0.000740804
23,1113.42,2.23482,1.5619,1.30236,0.01752,0.31944,0.01032,0.00266,3.20008,1074.21,1.50453,0.00076932,0.00076932,0.00076932
24,1161.04,2.34139,1.44152,1.1979,0.00828,0.13889,0.00354,0.00101,3.75378,393.028,1.83171,0.000797308,0.000797308,0.000797308
25,1208.32,2.25682,1.40108,1.39703,0.12019,0.125,0.02914,0.00866,3.35204,37.1022,1.74785,0.000824768,0.000824768,0.000824768
26,1259.94,2.20674,1.32249,1.28676,0.00875,0.29167,0.01169,0.00295,3.21279,403.641,1.66782,0.0008517,0.0008517,0.0008517
27,1310.36,2.2397,1.25954,1.29884,0.00083,0.02778,0.00045,4e-05,4.52165,913.164,2.59225,0.000878104,0.000878104,0.000878104
28,1359.11,2.23008,1.42837,1.3204,0.00083,0.02778,0.00045,4e-05,4.52165,913.164,2.59225,0.00090398,0.00090398,0.00090398
29,1407.81,2.21896,1.56182,1.28599,0.02335,0.22222,0.01174,0.00321,2.86038,40.7798,1.54379,0.000929328,0.000929328,0.000929328
30,1458.46,2.15658,1.56081,1.33681,0.11357,0.30556,0.07265,0.02136,2.58454,10.5178,1.43999,0.000954148,0.000954148,0.000954148
31,1507.47,2.2005,1.29002,1.26232,0.11357,0.30556,0.07265,0.02136,2.58454,10.5178,1.43999,0.00097844,0.00097844,0.00097844
32,1555.86,2.2048,1.33811,1.31338,0.0408,0.44444,0.02801,0.00824,2.71343,36.466,1.46817,0.0010022,0.0010022,0.0010022
33,1604.56,2.1918,1.40235,1.33913,0.06852,0.48611,0.04752,0.01428,2.71062,88.4146,1.41778,0.00102544,0.00102544,0.00102544
34,1652.97,2.15586,1.45738,1.26225,0.06852,0.48611,0.04752,0.01428,2.71062,88.4146,1.41778,0.00104815,0.00104815,0.00104815
35,1700.28,2.18043,1.60286,1.28623,0.05947,0.45833,0.04036,0.0121,2.7654,69.6815,1.4033,0.00107033,0.00107033,0.00107033
36,1749.5,2.29956,1.39475,1.23676,0.09818,0.38889,0.05889,0.01644,2.74474,16.4411,1.38757,0.00109198,0.00109198,0.00109198
37,1799.75,2.12192,1.31849,1.24617,0.09818,0.38889,0.05889,0.01644,2.74474,16.4411,1.38757,0.0011131,0.0011131,0.0011131
38,1850.71,2.04658,1.39313,1.25161,0.30708,0.36111,0.17329,0.03942,2.69118,7.34805,1.4847,0.0011337,0.0011337,0.0011337
39,1893.73,2.05463,1.30157,1.29305,0.31943,0.30556,0.15448,0.04218,2.76628,5.43286,1.55039,0.00115377,0.00115377,0.00115377
40,1941.13,1.99841,1.18056,1.29353,0.31943,0.30556,0.15448,0.04218,2.76628,5.43286,1.55039,0.00117331,0.00117331,0.00117331
41,1989.34,1.93297,1.15201,1.19914,0.10699,0.18056,0.04806,0.01469,2.96899,10.5142,1.59329,0.00119232,0.00119232,0.00119232
42,2038.47,2.08309,1.18348,1.2068,0.08966,0.25,0.04934,0.01519,2.80095,14.7011,1.50333,0.0012108,0.0012108,0.0012108
43,2083.58,1.8999,1.1219,1.25956,0.08966,0.25,0.04934,0.01519,2.80095,14.7011,1.50333,0.00122876,0.00122876,0.00122876
44,2129.97,2.21245,1.3622,1.17058,0.28248,0.30556,0.152,0.03366,2.84271,3.24796,1.45944,0.00124619,0.00124619,0.00124619
45,2176.56,2.01535,1.22202,1.19861,0.28248,0.30556,0.152,0.03366,2.84271,3.24796,1.45944,0.00126309,0.00126309,0.00126309
46,2224.03,2.07284,1.26408,1.25105,0.43773,0.36111,0.30872,0.1033,2.62634,2.04672,1.3729,0.00127946,0.00127946,0.00127946
47,2271.62,1.97759,1.13102,1.19126,0.43773,0.36111,0.30872,0.1033,2.62634,2.04672,1.3729,0.0012953,0.0012953,0.0012953
48,2320.54,2.04472,1.14186,1.22864,0.37663,0.38889,0.30949,0.10011,2.69433,2.58475,1.38581,0.00131062,0.00131062,0.00131062
49,2367.81,2.01361,1.12125,1.26933,0.37663,0.38889,0.30949,0.10011,2.69433,2.58475,1.38581,0.00132541,0.00132541,0.00132541
50,2415.47,2.00492,1.18945,1.16373,0.40012,0.34722,0.29047,0.08985,2.76729,2.25251,1.41463,0.00133967,0.00133967,0.00133967
51,2466.11,1.98118,1.06796,1.13459,0.40012,0.34722,0.29047,0.08985,2.76729,2.25251,1.41463,0.00134,0.00134,0.00134
52,2511.3,1.81244,1.11819,1.16515,0.41226,0.43056,0.32241,0.10188,2.62483,1.89759,1.43173,0.0013268,0.0013268,0.0013268
53,2557.09,2.12326,1.10812,1.2565,0.41226,0.43056,0.32241,0.10188,2.62483,1.89759,1.43173,0.0013136,0.0013136,0.0013136
54,2605.34,2.10116,1.07256,1.2626,0.29987,0.40278,0.24469,0.06812,2.72636,1.91571,1.4001,0.0013004,0.0013004,0.0013004
55,2654.96,1.9432,1.11852,1.18911,0.29987,0.40278,0.24469,0.06812,2.72636,1.91571,1.4001,0.0012872,0.0012872,0.0012872
56,2704.68,2.09159,1.1689,1.28632,0.26344,0.41667,0.21399,0.06323,2.75779,2.0574,1.40841,0.001274,0.001274,0.001274
57,2749.63,1.83797,1.08327,1.17874,0.26344,0.41667,0.21399,0.06323,2.75779,2.0574,1.40841,0.0012608,0.0012608,0.0012608
58,2798.58,2.04345,1.1964,1.17822,0.30696,0.34722,0.24728,0.08427,2.67052,1.97513,1.41999,0.0012476,0.0012476,0.0012476
59,2844.22,2.08196,1.19542,1.15567,0.30696,0.34722,0.24728,0.08427,2.67052,1.97513,1.41999,0.0012344,0.0012344,0.0012344
60,2892.13,2.02689,1.14806,1.17131,0.25586,0.31944,0.17407,0.06173,2.85019,2.10841,1.44077,0.0012212,0.0012212,0.0012212
61,2941.65,1.69716,1.02064,1.12975,0.25586,0.31944,0.17407,0.06173,2.85019,2.10841,1.44077,0.001208,0.001208,0.001208
62,2987.62,1.7967,1.04733,1.18199,0.30643,0.34722,0.24226,0.08208,2.82438,2.04916,1.45358,0.0011948,0.0011948,0.0011948
63,3033.25,1.9071,1.06925,1.26194,0.30643,0.34722,0.24226,0.08208,2.82438,2.04916,1.45358,0.0011816,0.0011816,0.0011816
64,3076.35,1.73467,1.00308,1.17111,0.4223,0.44444,0.35868,0.11031,2.75679,1.84014,1.45988,0.0011684,0.0011684,0.0011684
65,3126.21,1.85034,0.97414,1.16904,0.4223,0.44444,0.35868,0.11031,2.75679,1.84014,1.45988,0.0011552,0.0011552,0.0011552
66,3173.79,1.80665,0.99317,1.14217,0.39178,0.45833,0.3534,0.10615,2.7534,1.77161,1.43751,0.001142,0.001142,0.001142
67,3221.95,1.89191,1.03347,1.20752,0.39178,0.45833,0.3534,0.10615,2.7534,1.77161,1.43751,0.0011288,0.0011288,0.0011288
68,3268.38,1.68291,0.96615,1.12159,0.43576,0.44444,0.33753,0.10045,2.79019,1.69944,1.46564,0.0011156,0.0011156,0.0011156
69,3315.01,1.91396,1.09761,1.10598,0.43576,0.44444,0.33753,0.10045,2.79019,1.69944,1.46564,0.0011024,0.0011024,0.0011024
70,3364.57,1.68878,0.96514,1.09049,0.31004,0.40278,0.28086,0.08412,2.82138,1.85126,1.43415,0.0010892,0.0010892,0.0010892
71,3408.57,1.76709,1.05385,1.12664,0.31004,0.40278,0.28086,0.08412,2.82138,1.85126,1.43415,0.001076,0.001076,0.001076
72,3455.22,2.00029,1.18632,1.11588,0.32056,0.40278,0.25868,0.06804,2.93068,1.83,1.56145,0.0010628,0.0010628,0.0010628
73,3502.51,1.81131,0.98345,1.14732,0.32056,0.40278,0.25868,0.06804,2.93068,1.83,1.56145,0.0010496,0.0010496,0.0010496
74,3551.36,1.9528,1.00604,1.17702,0.40936,0.4236,0.29412,0.07078,2.90032,1.94469,1.57587,0.0010364,0.0010364,0.0010364
75,3599.8,1.8246,1.00083,1.09107,0.40936,0.4236,0.29412,0.07078,2.90032,1.94469,1.57587,0.0010232,0.0010232,0.0010232
76,3650.84,1.82838,1.00777,1.10729,0.42359,0.40278,0.29921,0.08101,2.80718,1.86077,1.48873,0.00101,0.00101,0.00101
77,3696.8,1.79487,0.95416,1.16912,0.42359,0.40278,0.29921,0.08101,2.80718,1.86077,1.48873,0.0009968,0.0009968,0.0009968
78,3744.34,1.72886,0.94313,1.13549,0.40067,0.40278,0.2894,0.07713,2.77026,1.81438,1.48236,0.0009836,0.0009836,0.0009836
79,3793.8,1.66612,0.97113,1.09539,0.40067,0.40278,0.2894,0.07713,2.77026,1.81438,1.48236,0.0009704,0.0009704,0.0009704
80,3841.33,1.7597,0.96199,1.11335,0.452,0.40278,0.29984,0.07786,2.80774,1.87545,1.52376,0.0009572,0.0009572,0.0009572
81,3892.42,1.68004,0.99378,1.16348,0.452,0.40278,0.29984,0.07786,2.80774,1.87545,1.52376,0.000944,0.000944,0.000944
82,3936.83,1.67452,0.91603,1.04356,0.39807,0.44444,0.29352,0.08774,2.78704,1.8764,1.52235,0.0009308,0.0009308,0.0009308
83,3982.18,1.78689,0.95392,1.06806,0.39807,0.44444,0.29352,0.08774,2.78704,1.8764,1.52235,0.0009176,0.0009176,0.0009176
84,4029.99,1.7109,0.9324,1.0833,0.4212,0.39422,0.29796,0.10238,2.7676,1.79016,1.46304,0.0009044,0.0009044,0.0009044
85,4077.88,1.73938,0.92516,1.10987,0.4212,0.39422,0.29796,0.10238,2.7676,1.79016,1.46304,0.0008912,0.0008912,0.0008912
86,4126.99,1.71356,0.90991,1.05098,0.45896,0.375,0.30549,0.09447,2.76547,1.7116,1.45449,0.000878,0.000878,0.000878
87,4172.25,1.63326,0.89183,1.04042,0.45896,0.375,0.30549,0.09447,2.76547,1.7116,1.45449,0.0008648,0.0008648,0.0008648
88,4221.07,1.5127,0.81585,1.07766,0.4801,0.38483,0.31201,0.09919,2.71251,1.75947,1.48341,0.0008516,0.0008516,0.0008516
89,4268.09,1.59984,0.82346,1.03954,0.4801,0.38483,0.31201,0.09919,2.71251,1.75947,1.48341,0.0008384,0.0008384,0.0008384
90,4315.66,1.46553,0.75759,1.07701,0.43687,0.43056,0.32326,0.11167,2.67095,1.71657,1.48103,0.0008252,0.0008252,0.0008252
91,4362.39,1.56393,0.78585,1.05068,0.43687,0.43056,0.32326,0.11167,2.67095,1.71657,1.48103,0.000812,0.000812,0.000812
92,4406.1,1.49781,0.78908,1.06734,0.514,0.44444,0.36712,0.12925,2.72325,1.60983,1.48545,0.0007988,0.0007988,0.0007988
