epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8544,4.05033,4.62295,2.48875,0,0,0,0,3.78733,4.4064,1.90785,2e-05,2e-05,2e-05
2,25.0614,4.01152,4.35399,2.30805,0,0,0,0,3.75446,4.37387,1.86903,5.7624e-05,5.7624e-05,5.7624e-05
3,34.5234,3.90956,4.43034,2.16992,0.00042,0.01389,0.00021,0.00015,3.6268,4.31767,1.77141,9.208e-05,9.208e-05,9.208e-05
4,44.1522,3.69609,4.1142,2.11983,0.00167,0.05556,0.00089,0.00031,3.5258,4.13243,1.65453,0.000123368,0.000123368,0.000123368
5,54.098,3.88928,4.21447,1.86868,0.005,0.16667,0.00297,0.00069,3.33282,3.9765,1.53267,0.000151488,0.000151488,0.000151488
6,63.5141,3.20176,3.82582,1.76423,0.00833,0.27778,0.00548,0.00139,3.15667,3.89337,1.45013,0.00017644,0.00017644,0.00017644
7,72.9294,3.30912,3.5407,1.71781,0.01042,0.34722,0.00767,0.00173,3.08456,3.82934,1.40631,0.000198224,0.000198224,0.000198224
8,82.4152,3.16319,3.41837,1.63582,0.01167,0.38889,0.00999,0.00234,3.0003,3.80738,1.38972,0.00021684,0.00021684,0.00021684
9,92.5262,3.11768,3.03444,1.50191,0.01167,0.38889,0.00998,0.00236,2.98451,3.82656,1.41727,0.000232288,0.000232288,0.000232288
10,102.469,2.93644,3.01514,1.43511,0.00708,0.23611,0.0059,0.00197,2.90966,3.87177,1.44677,0.000244568,0.000244568,0.000244568
11,112.585,3.01549,2.98216,1.41472,0.00292,0.09722,0.00205,0.00081,2.90526,3.99714,1.54,0.00025368,0.00025368,0.00025368
12,123.043,2.84634,2.81379,1.34489,0.00167,0.05556,0.00108,0.00042,2.89007,4.1365,1.57078,0.000259624,0.000259624,0.000259624
13,132.581,2.75089,2.79946,1.39724,0.00125,0.04167,0.00075,0.00029,2.92849,4.19116,1.59564,0.0002624,0.0002624,0.0002624
14,142.207,3.00806,2.81779,1.43939,0.00167,0.05556,0.00103,0.00033,2.90606,4.18065,1.60813,0.000262008,0.000262008,0.000262008
15,151.473,2.84254,2.58209,1.40217,0.00167,0.05556,0.00111,0.00032,2.81127,4.17564,1.57856,0.000258448,0.000258448,0.000258448
16,160.947,2.81015,2.85427,1.46646,0.00292,0.09722,0.00222,0.00076,2.74252,4.06495,1.53221,0.00025172,0.00025172,0.00025172
17,170.281,2.6711,2.54938,1.53721,0.00292,0.09722,0.00237,0.00115,2.64267,3.9091,1.44176,0.000241824,0.000241824,0.000241824
18,179.993,2.74028,2.85763,1.45992,0.00333,0.11111,0.0027,0.00127,2.62597,3.79549,1.40594,0.00022876,0.00022876,0.00022876
19,190.277,2.51039,2.42064,1.48897,0.00792,0.26389,0.00806,0.00283,2.60483,3.67664,1.34525,0.000212528,0.000212528,0.000212528
20,199.904,2.69353,2.59095,1.42622,0.00917,0.30556,0.00977,0.00358,2.57403,3.57987,1.32472,0.000193128,0.000193128,0.000193128
21,209.403,2.64563,2.48036,1.4328,0.01,0.33333,0.01122,0.00424,2.55098,3.51935,1.31226,0.00017056,0.00017056,0.00017056
22,218.808,2.51744,2.35169,1.42099,0.01083,0.36111,0.01241,0.00457,2.5476,3.46339,1.30625,0.000144824,0.000144824,0.000144824
23,228.043,2.49742,2.28039,1.44732,0.01333,0.44444,0.0154,0.00569,2.52676,3.39644,1.29131,0.00011592,0.00011592,0.00011592
24,237.441,2.38465,2.23301,1.38082,0.015,0.5,0.01947,0.00634,2.49309,3.33599,1.27529,8.3848e-05,8.3848e-05,8.3848e-05
25,247.026,2.54008,2.16688,1.41225,0.01542,0.51389,0.02281,0.00838,2.48734,3.29246,1.26906,4.8608e-05,4.8608e-05,4.8608e-05
1,15.7601,4.05033,4.62295,2.48875,0,0,0,0,3.78733,4.4064,1.90785,2e-05,2e-05,2e-05
2,26.7726,4.01152,4.35399,2.30805,0,0,0,0,3.75446,4.37387,1.86903,5.7624e-05,5.7624e-05,5.7624e-05
3,36.4682,3.90956,4.43034,2.16992,0.00042,0.01389,0.00021,0.00015,3.6268,4.31767,1.77141,9.208e-05,9.208e-05,9.208e-05
4,46.2585,3.69609,4.1142,2.11983,0.00167,0.05556,0.00089,0.00031,3.5258,4.13243,1.65453,0.000123368,0.000123368,0.000123368
5,59.836,3.88928,4.21447,1.86868,0.005,0.16667,0.00297,0.00069,3.33282,3.9765,1.53267,0.000151488,0.000151488,0.000151488
6,69.8763,3.20176,3.82582,1.76423,0.00833,0.27778,0.00548,0.00139,3.15667,3.89337,1.45013,0.00017644,0.00017644,0.00017644
7,80.454,3.30912,3.5407,1.71781,0.01042,0.34722,0.00767,0.00173,3.08456,3.82934,1.40631,0.000198224,0.000198224,0.000198224
8,89.8733,3.16319,3.41837,1.63582,0.01167,0.38889,0.00999,0.00234,3.0003,3.80738,1.38972,0.00021684,0.00021684,0.00021684
9,99.5638,3.11768,3.03444,1.50191,0.01167,0.38889,0.00998,0.00236,2.98451,3.82656,1.41727,0.000232288,0.000232288,0.000232288
10,109.328,2.93644,3.01514,1.43511,0.00708,0.23611,0.0059,0.00197,2.90966,3.87177,1.44677,0.000244568,0.000244568,0.000244568
11,118.663,3.01549,2.98216,1.41472,0.00292,0.09722,0.00205,0.00081,2.90526,3.99714,1.54,0.00025368,0.00025368,0.00025368
12,128.753,2.84634,2.81379,1.34489,0.00167,0.05556,0.00108,0.00042,2.89007,4.1365,1.57078,0.000259624,0.000259624,0.000259624
13,138.707,2.75089,2.79946,1.39724,0.00125,0.04167,0.00075,0.00029,2.92849,4.19116,1.59564,0.0002624,0.0002624,0.0002624
14,148.461,3.00806,2.81779,1.43939,0.00167,0.05556,0.00103,0.00033,2.90606,4.18065,1.60813,0.000262008,0.000262008,0.000262008
15,157.695,2.84254,2.58209,1.40217,0.00167,0.05556,0.00111,0.00032,2.81127,4.17564,1.57856,0.000258448,0.000258448,0.000258448
16,167.299,2.81015,2.85427,1.46646,0.00292,0.09722,0.00222,0.00076,2.74252,4.06495,1.53221,0.00025172,0.00025172,0.00025172
17,176.592,2.6711,2.54938,1.53721,0.00292,0.09722,0.00237,0.00115,2.64267,3.9091,1.44176,0.000241824,0.000241824,0.000241824
18,186.127,2.74028,2.85763,1.45992,0.00333,0.11111,0.0027,0.00127,2.62597,3.79549,1.40594,0.00022876,0.00022876,0.00022876
19,195.617,2.51039,2.42064,1.48897,0.00792,0.26389,0.00806,0.00283,2.60483,3.67664,1.34525,0.000212528,0.000212528,0.000212528
20,204.752,2.69353,2.59095,1.42622,0.00917,0.30556,0.00977,0.00358,2.57403,3.57987,1.32472,0.000193128,0.000193128,0.000193128
21,214.726,2.64563,2.48036,1.4328,0.01,0.33333,0.01122,0.00424,2.55098,3.51935,1.31226,0.00017056,0.00017056,0.00017056
22,224.357,2.51744,2.35169,1.42099,0.01083,0.36111,0.01241,0.00457,2.5476,3.46339,1.30625,0.000144824,0.000144824,0.000144824
23,233.663,2.49742,2.28039,1.44732,0.01333,0.44444,0.0154,0.00569,2.52676,3.39644,1.29131,0.00011592,0.00011592,0.00011592
24,242.891,2.38465,2.23301,1.38082,0.015,0.5,0.01947,0.00634,2.49309,3.33599,1.27529,8.3848e-05,8.3848e-05,8.3848e-05
25,252.397,2.54008,2.16688,1.41225,0.01542,0.51389,0.02281,0.00838,2.48734,3.29246,1.26906,4.8608e-05,4.8608e-05,4.8608e-05
