epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9562,4.21361,8.02524,2.45282,0.00078,0.01389,0.0007,0.00018,4.11334,7.34214,2.25993,2e-05,2e-05,2e-05
2,52.9216,4.15447,6.7826,2.27028,0.00083,0.02778,0.00044,9e-05,4.01657,6.75314,2.16287,5.7624e-05,5.7624e-05,5.7624e-05
3,75.9615,3.96737,5.92877,2.12314,0.00355,0.05556,0.00164,0.00032,3.75866,7.6247,1.92354,9.208e-05,9.208e-05,9.208e-05
4,100.314,3.72471,4.49088,2.03289,0.02979,0.09722,0.01124,0.00192,3.44081,9.33954,1.70857,0.000123368,0.000123368,0.000123368
5,122.095,3.64551,4.41773,1.72206,0.09384,0.16667,0.06133,0.01101,3.26362,7.62043,1.5548,0.000151488,0.000151488,0.000151488
6,144.041,3.15852,3.41181,1.64422,0.27645,0.16667,0.12901,0.03546,3.04564,4.23599,1.46656,0.00017644,0.00017644,0.00017644
7,166.456,3.04347,2.86615,1.60608,0.45247,0.16082,0.14248,0.04423,2.90475,3.37476,1.44969,0.000198224,0.000198224,0.000198224
8,188.036,2.95174,2.69295,1.62177,0.36552,0.18056,0.15922,0.05228,2.95064,2.73581,1.45514,0.00021684,0.00021684,0.00021684
9,209.948,2.7871,2.35913,1.51452,0.22515,0.30556,0.18166,0.06167,2.97586,2.61462,1.47962,0.000232288,0.000232288,0.000232288
10,234.115,2.57292,2.24846,1.45206,0.26881,0.25,0.19284,0.06415,2.97384,2.60396,1.47988,0.000244568,0.000244568,0.000244568
11,255.058,2.63713,2.09648,1.39875,0.24932,0.29167,0.21982,0.06357,2.92989,2.43232,1.45812,0.00025368,0.00025368,0.00025368
12,278.025,2.551,1.98096,1.36587,0.29656,0.31944,0.23466,0.05966,2.84453,2.35312,1.41419,0.000259624,0.000259624,0.000259624
13,301.263,2.52114,2.01419,1.42215,0.36304,0.31668,0.23799,0.06422,2.7537,2.82331,1.38487,0.0002624,0.0002624,0.0002624
14,324.258,2.71578,2.15506,1.41053,0.39347,0.3154,0.26034,0.07609,2.74455,3.57476,1.37365,0.000262008,0.000262008,0.000262008
15,348.847,2.65439,2.01352,1.36725,0.38205,0.30556,0.26946,0.07909,2.7553,3.00929,1.36779,0.000258448,0.000258448,0.000258448
16,371.465,2.47508,2.05816,1.34045,0.28748,0.33333,0.2545,0.0735,2.75956,2.35039,1.35574,0.00025172,0.00025172,0.00025172
17,393.03,2.44888,2.05105,1.44889,0.39284,0.31944,0.2719,0.07767,2.76829,2.17539,1.3458,0.000241824,0.000241824,0.000241824
18,415.173,2.54224,2.06446,1.41091,0.41681,0.31768,0.27896,0.08049,2.75806,2.1345,1.32933,0.00022876,0.00022876,0.00022876
19,435.861,2.30083,1.68391,1.40419,0.36074,0.33333,0.26252,0.09195,2.66085,2.31082,1.29915,0.000212528,0.000212528,0.000212528
20,457.936,2.36252,1.71311,1.29863,0.3165,0.36111,0.26434,0.0932,2.63274,2.61447,1.29248,0.000193128,0.000193128,0.000193128
21,479.643,2.35721,1.67689,1.31076,0.37436,0.31944,0.26622,0.08916,2.60732,2.69253,1.30776,0.00017056,0.00017056,0.00017056
22,501.861,2.228,1.58695,1.33163,0.35003,0.31944,0.26073,0.08782,2.62125,2.44983,1.32882,0.000144824,0.000144824,0.000144824
23,524.731,2.34657,1.50637,1.42146,0.3724,0.33333,0.2933,0.08815,2.61926,2.31811,1.34255,0.00011592,0.00011592,0.00011592
24,545.136,2.17778,1.4903,1.33563,0.39761,0.34722,0.30771,0.08593,2.62486,2.22694,1.3485,8.3848e-05,8.3848e-05,8.3848e-05
25,565.682,2.26741,1.53352,1.32199,0.39784,0.36111,0.30317,0.085,2.62657,2.19704,1.34479,4.8608e-05,4.8608e-05,4.8608e-05
